CB,Nombre,Charola,Posicion en Charola,Cantidad de Frentes,Altura,Ancho,Profundo
7501954903698,PAPEL HIGIENICO AZALEA 4 ROLLOS 350 HOJAS,7,2,1,20.00 cm,22.00 cm,11.00 cm
7506425651061,Shampoo KleenBebe Manzanilla 250ml,7,2,1,18.20 cm,7.40 cm,4.50 cm
7501954902318,Panales Tikytin 14pz T4,7,3,1,20.00 cm,16.00 cm,9.00 cm
7502271158891,PAPEL HIGIENICO AZALEA 4S CON AROMA,7,3,1,20.00 cm,22.00 cm,11.00 cm
7501954904664,Panales Tikytin 14pz T5,7,4,1,20.00 cm,16.00 cm,8.50 cm
7502294220513,Papel Higiénico Azálea 6 Rollos 500 Hojas,7,4,1,20.00 cm,27.00 cm,19.00 cm
7502271154114,Tikytin Ultra talla 5 X-Grande 36/4,7,5,1,26.00 cm,11.00 cm,7.00 cm
7501058623188,NAN 1 OPTIPRO Formula Infantil 12x400gMX,7,6,1,14.30 cm,10.00 cm,10.00 cm
7501058623195,NAN 2 OPTIPRO Formula Infantil 12x400gMX,7,7,1,14.30 cm,10.00 cm,10.00 cm
7501058623201,NAN 3 OPTIPRO FI Lata 12x400g MX,7,8,1,14.30 cm,10.00 cm,10.00 cm
7501035908246,Aceite para bebe Baby Magic Mennen 100 ml bote,8,1,1,12.50 cm,5.20 cm,3.30 cm
7501954905043,AGUA BIOLEVE 1.5 LTS,8,1,1,33.50 cm,8.50 cm,8.50 cm
7502271154695,AGUA ALCALINA VITAWA 1.5 LTS,8,2,2,30.00 cm,9.00 cm,9.00 cm
7506425651061,Shampoo KleenBebe Manzanilla 250ml,8,2,1,18.20 cm,7.40 cm,4.50 cm
7501954902318,Panales Tikytin 14pz T4,8,3,1,20.00 cm,16.00 cm,9.00 cm
7502271153674,AGUA ALCALINA VITAWA 1LT,8,3,2,26.50 cm,8.00 cm,8.00 cm
7501954904664,Panales Tikytin 14pz T5,8,4,1,20.00 cm,16.00 cm,8.50 cm
7502271154718,Agua Bioleve 1L 6pack,8,4,1,27.70 cm,16.30 cm,24.40 cm
7502271154114,Tikytin Ultra talla 5 X-Grande 36/4,8,5,1,26.00 cm,11.00 cm,7.00 cm
7502271158273,AGUA PURIFICADA BIOLEVE 0.5L 8 PACK,8,5,1,19.81 cm,26.92 cm,13.46 cm
7501058623188,NAN 1 OPTIPRO Formula Infantil 12x400gMX,8,6,1,14.30 cm,10.00 cm,10.00 cm
7501058623195,NAN 2 OPTIPRO Formula Infantil 12x400gMX,8,7,1,14.30 cm,10.00 cm,10.00 cm
7501058623201,NAN 3 OPTIPRO FI Lata 12x400g MX,8,8,1,14.30 cm,10.00 cm,10.00 cm
7501954905043,AGUA BIOLEVE 1.5 LTS,9,1,1,33.50 cm,8.50 cm,8.50 cm
7502271154695,AGUA ALCALINA VITAWA 1.5 LTS,9,2,2,30.00 cm,9.00 cm,9.00 cm
7502271153674,AGUA ALCALINA VITAWA 1LT,9,3,2,26.50 cm,8.00 cm,8.00 cm
7502271154718,Agua Bioleve 1L 6pack,9,4,1,27.70 cm,16.30 cm,24.40 cm
7502271158273,AGUA PURIFICADA BIOLEVE 0.5L 8 PACK,9,5,1,19.81 cm,26.92 cm,13.46 cm
